City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
177,Pitimbu,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
178,Northam,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
179,Iraquara,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
180,Chuy,UY,64.83,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
181,Matias Romero,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
182,Nova Aurora,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
183,Elbistan,TR,56.86,overcast clouds,38.2059,37.1983,Sword Hotel
184,La Joya,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
185,Sao Filipe,CV,72.39,clear sky,15.1333,-23.2167,Hotel Marilu
186,Portland,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
187,La Cruz,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
191,Amahai,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
195,Port Elizabeth,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
199,Tevaitoa,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
201,Oyon,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
202,Arraial Do Cabo,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
206,Srikakulam,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
207,Sakakah,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
208,Svay Rieng,KH,80.78,overcast clouds,11.0879,105.7993,Apsara guesthouse
210,Bambous Virieux,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
211,Airai,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
213,Bowen,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
219,Phonhong,LA,74.73,scattered clouds,18.5007,102.4166,Manyvong Guest House
220,Kieta,PG,81.81,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
222,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
223,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
225,Tiarei,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
226,Buraydah,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
228,Port Lincoln,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
233,Teruel,ES,57.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
235,Male,MV,82.53,scattered clouds,-0.6,73.0833,Scoop Guest House
237,Da Nang,VN,75.18,few clouds,16.0678,108.2208,Grand Mercure Danang
238,Emerald,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
240,Saldanha,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
243,Asyut,EG,88.09,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
