City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Port Alfred,ZA,2022-04-17 02:15:13,-33.5906,26.891,58.17,93,100,9.35
96,Puerto Ayora,EC,2022-04-17 02:15:13,-0.7393,-90.3518,75.4,91,79,5.32
97,Geraldton,AU,2022-04-17 02:15:14,-28.7667,114.6,68.41,68,100,16.11
98,Valparaiso,CL,2022-04-17 02:15:14,-33.0393,-71.6273,57.47,73,0,0.0
99,Kavieng,PG,2022-04-17 02:10:41,-2.5744,150.7967,84.51,71,31,8.75
100,Wladyslawowo,PL,2022-04-17 02:15:14,54.7909,18.4009,35.94,69,100,4.14
101,Nelson Bay,AU,2022-04-17 02:15:15,-32.7167,152.15,73.45,66,9,3.94
102,Avera,US,2022-04-17 02:15:15,33.194,-82.5271,63.91,93,100,0.98
103,Mount Gambier,AU,2022-04-17 02:13:05,-37.8333,140.7667,73.31,38,75,17.27
104,Lavrentiya,RU,2022-04-17 02:15:15,65.5833,-171.0,31.1,95,100,10.38
105,Adre,TD,2022-04-17 02:15:16,13.4667,22.2,82.58,32,86,8.14
106,Quesnel,CA,2022-04-17 02:15:00,52.9999,-122.5029,41.52,44,89,4.99
107,Dingli,MT,2022-04-17 02:15:16,35.8614,14.3822,55.81,82,20,10.36
108,Catemaco,MX,2022-04-17 02:15:16,18.4167,-95.1167,75.87,72,8,6.46
109,Okakarara,NA,2022-04-17 02:15:17,-20.5833,17.4333,61.29,47,9,3.53
110,Trinidad,BO,2022-04-17 02:15:17,-14.8333,-64.9,70.09,76,15,5.77
111,Lebu,CL,2022-04-17 02:15:17,-37.6167,-73.65,52.97,93,45,10.98
112,Grand Baie,MU,2022-04-17 02:15:18,-20.0182,57.5802,77.47,86,66,5.99
113,Victoria,HK,2022-04-17 02:12:53,22.2855,114.1577,72.25,77,99,11.01
114,Atuona,PF,2022-04-17 02:15:18,-9.8,-139.0333,78.84,80,84,17.09
115,Klyuchi,RU,2022-04-17 02:15:18,52.2667,79.1667,52.72,34,100,6.58
116,Severo-Kurilsk,RU,2022-04-17 02:15:19,50.6789,156.125,32.86,78,100,11.1
117,Gold Coast,AU,2022-04-17 02:12:00,-28.0,153.4333,75.99,70,75,10.36
118,Nikolskoye,RU,2022-04-17 02:13:02,59.7035,30.7861,32.81,82,62,3.2
119,Kemijarvi,FI,2022-04-17 02:12:13,66.7131,27.4306,30.49,95,99,5.32
120,Lorengau,PG,2022-04-17 02:15:19,-2.0226,147.2712,84.2,74,55,5.75
121,Sabang,ID,2022-04-17 02:15:20,5.8933,95.3214,83.86,63,56,5.37
122,Bay Roberts,CA,2022-04-17 02:15:20,47.5999,-53.2648,46.33,68,99,11.01
123,Hilo,US,2022-04-17 02:15:20,19.7297,-155.09,73.27,93,100,5.75
124,Upernavik,GL,2022-04-17 02:13:25,72.7868,-56.1549,-17.1,100,50,8.7
125,Dunedin,NZ,2022-04-17 02:15:21,-45.8742,170.5036,53.8,71,96,17.0
126,Kruisfontein,ZA,2022-04-17 02:15:21,-34.0033,24.7314,58.89,92,0,3.44
127,La Spezia,IT,2022-04-17 02:15:21,44.1105,9.8434,57.2,50,0,10.27
128,Sorkjosen,NO,2022-04-17 02:15:22,69.8,20.9333,39.2,81,40,3.44
129,Cabo Rojo,PR,2022-04-17 02:15:22,18.0866,-67.1457,76.89,88,74,12.06
130,Marawi,PH,2022-04-17 02:15:22,7.9986,124.2928,79.0,66,95,3.56
131,Arraial Do Cabo,BR,2022-04-17 02:10:40,-22.9661,-42.0278,72.61,70,0,14.92
132,Saint George,US,2022-04-17 02:15:23,37.1041,-113.5841,73.63,20,0,14.97
133,Kapaa,US,2022-04-17 02:15:23,22.0752,-159.319,73.38,97,97,4.0
134,Tezu,IN,2022-04-17 02:15:23,27.9167,96.1667,66.9,92,100,4.83
135,Souillac,MU,2022-04-17 02:15:24,-20.5167,57.5167,77.38,88,75,13.8
136,Manado,ID,2022-04-17 02:12:37,1.487,124.8455,84.97,74,40,3.44
137,Jumla,NP,2022-04-17 02:15:25,29.2747,82.1838,55.99,37,0,2.04
138,Meulaboh,ID,2022-04-17 02:15:26,4.1363,96.1285,81.82,80,50,2.28
139,Merauke,ID,2022-04-17 02:16:26,-8.4667,140.3333,84.74,69,100,1.77
140,Caravelas,BR,2022-04-17 02:16:26,-17.7125,-39.2481,77.77,69,100,10.74
141,Moose Factory,CA,2022-04-17 02:16:27,51.2585,-80.6094,28.4,86,100,10.36
142,Okha,RU,2022-04-17 02:11:51,53.5739,142.9478,31.8,76,100,10.65
143,Tecoanapa,MX,2022-04-17 02:16:27,16.5167,-98.75,80.19,67,14,5.08
144,Tiksi,RU,2022-04-17 02:16:27,71.6872,128.8694,4.06,91,29,6.26
145,Noumea,NC,2022-04-17 02:14:13,-22.2763,166.4572,84.0,99,0,12.28
146,Buraydah,SA,2022-04-17 02:16:28,26.326,43.975,66.65,16,0,8.84
147,Chokurdakh,RU,2022-04-17 02:16:28,70.6333,147.9167,6.71,88,24,2.82
148,Santiago Del Estero,AR,2022-04-17 02:16:28,-27.7951,-64.2615,62.55,54,4,5.86
149,Broome,US,2022-04-17 02:16:29,42.2506,-75.833,41.7,80,75,13.8
150,Ust-Nera,RU,2022-04-17 02:16:29,64.5667,143.2,20.75,78,100,1.14
151,Itajobi,BR,2022-04-17 02:16:29,-21.3181,-49.0544,60.01,73,0,8.95
152,Kieta,PG,2022-04-17 02:16:30,-6.2167,155.6333,83.26,75,95,3.78
153,Sao Joao Da Barra,BR,2022-04-17 02:16:30,-21.6403,-41.0511,69.37,76,34,10.2
154,San Patricio,US,2022-04-17 02:16:30,28.017,-97.5169,77.72,83,81,10.13
155,Mahebourg,MU,2022-04-17 02:13:11,-20.4081,57.7,76.24,82,59,13.56
156,Kentau,KZ,2022-04-17 02:16:31,43.5206,68.5094,70.0,30,100,5.26
157,Golden,US,2022-04-17 02:16:31,39.7555,-105.2211,52.14,39,100,9.22
158,Wajima,JP,2022-04-17 02:16:31,37.4,136.9,59.68,47,0,5.75
159,Nexo,DK,2022-04-17 02:13:11,55.0607,15.1306,39.29,75,100,11.72
160,Nome,US,2022-04-17 02:16:31,64.5011,-165.4064,33.87,75,100,18.41
161,Axim,GH,2022-04-17 02:16:32,4.8699,-2.2405,75.24,88,100,3.27
162,Bitung,ID,2022-04-17 02:16:32,1.4451,125.1824,85.05,69,96,6.87
163,Coquimbo,CL,2022-04-17 02:16:32,-29.9533,-71.3436,56.93,88,75,4.61
164,Kondopoga,RU,2022-04-17 02:16:33,62.2057,34.2614,26.28,88,76,3.02
165,Amazar,RU,2022-04-17 02:12:38,53.858,120.875,35.58,36,6,6.89
166,Mildura,AU,2022-04-17 02:16:33,-34.2,142.15,85.96,23,5,12.66
167,Oussouye,SN,2022-04-17 02:16:33,12.485,-16.5469,69.66,75,26,12.41
168,Norman Wells,CA,2022-04-17 02:16:34,65.282,-126.8329,19.44,32,20,4.61
169,Nicoya,CR,2022-04-17 02:16:34,10.1483,-85.452,82.58,66,100,3.69
170,Auki,SB,2022-04-17 02:15:19,-8.7676,160.7034,85.91,64,86,3.27
171,Cartagena,CO,2022-04-17 02:16:34,10.3997,-75.5144,80.22,89,75,6.91
172,Rockhampton,AU,2022-04-17 02:16:35,-23.3833,150.5,82.29,32,0,10.36
173,Nayoro,JP,2022-04-17 02:14:19,44.3506,142.4578,49.87,62,41,16.08
174,Xuddur,SO,2022-04-17 02:16:35,4.1213,43.8894,77.38,74,78,9.06
