City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Tumannyy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
110,Gazojak,TM,41.1875,61.4036,60.51,44,100,16.8,overcast clouds
111,Westport,US,41.1415,-73.3579,51.75,36,99,13.0,overcast clouds
112,Vanimo,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
113,Butaritari,KI,3.0707,172.7902,81.52,74,12,12.35,few clouds
114,Danville,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
115,Jumla,NP,27.7167,85.3167,61.02,51,20,2.3,few clouds
116,Ponta Do Sol,CV,15.1333,-23.2167,72.39,81,0,18.14,clear sky
117,Finschhafen,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
118,Pokrovsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
119,Kloulklubed,PW,7.0419,134.2556,73.9,72,98,1.79,overcast clouds
120,Isangel,VU,-13.8833,167.55,81.82,73,87,5.64,overcast clouds
121,Luanda,AO,-14.6585,17.691,62.87,95,19,3.74,few clouds
122,Burnie,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
123,Salinopolis,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
124,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,72,9.95,light rain
125,Mar Del Plata,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
126,Bonavista,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
127,Rikitea,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
128,Ruatoria,NZ,-46.6,168.3333,41.81,83,7,8.25,clear sky
129,Talant,FR,47.3369,5.0089,52.41,37,0,6.91,clear sky
130,Corni,RO,47.65,26.5833,37.44,87,0,6.91,clear sky
131,Stokmarknes,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
132,San Julian,BO,-20.4597,-66.825,56.43,8,1,17.56,clear sky
133,Kanigoro,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
134,Comodoro Rivadavia,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
135,Rubtsovsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
136,Victoria,HK,22.2855,114.1577,72.18,79,100,10.0,overcast clouds
137,Fare,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
138,Mys Shmidta,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
139,Davila,PH,18.4726,120.5763,77.11,81,98,12.93,overcast clouds
140,Ayotzintepec,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
141,Kati,ML,12.7441,-8.0726,92.61,25,43,6.44,scattered clouds
142,Kodiak,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
143,Alofi,NU,-19.0595,-169.9187,82.29,83,75,6.91,broken clouds
144,Colares,PT,37.7167,-25.4333,59.41,79,63,11.43,broken clouds
145,Lima,PE,-12.0432,-77.0282,66.38,62,75,5.75,broken clouds
146,Muros,ES,42.7762,-9.0603,57.83,80,8,11.39,clear sky
147,Eureka,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
148,Milingimbi,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
149,Kalakamati,BW,-19.6667,22.2667,69.51,77,37,2.21,moderate rain
150,Sao Felix Do Xingu,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
151,Sohag,EG,26.557,31.6948,88.09,10,99,6.06,overcast clouds
152,Lebu,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
153,Luganville,VU,-13.8833,167.55,81.82,73,87,5.64,overcast clouds
154,Nelson Bay,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
155,Opuwo,NA,-22.116,14.2845,62.44,77,1,6.91,clear sky
156,Brighton,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
